Semivariogram           tail:Primary      head:Primary       direction  1 
   4       10.048      0.79461      325        3.20135        4.28135
   5       14.829      0.99867      379        4.14984        3.53913
   6       19.889      0.91142      388        3.09848        4.06830
   7       24.699      0.93964      410        2.24256        4.48607
   8       29.882      1.12829      383        2.86990        3.96376
   9       34.816      1.37012      302        3.52497        4.12520
  10       39.361      1.59201      209        3.30330        4.61096
  11       44.443      0.68742       88        0.92148        4.21273
  12       48.021      0.56364       10        1.56000        4.68700
Semivariogram           tail:Secondary    head:Secondary     direction  3 
   1        0.000      0.00000      140        4.14021        4.14021
   2        1.688      0.26258       48        8.35292        7.49563
   3        5.271      0.51641      186        5.19425        3.88737
   4        9.952      0.90878      274        4.46609        2.83004
   5       15.131      1.06925      356        4.65963        3.19539
   6       19.576      1.12355      385        4.12717        3.37678
   7       25.010      1.02514      442        3.60995        3.81387
   8       29.886      1.05375      467        3.64906        3.95709
   9       34.630      1.15914      364        3.28080        3.36442
  10       39.443      1.52002      237        5.30451        2.25578
  11       44.500      1.89868      150        7.60633        2.36467
  12       48.483      3.00785       27       10.04519        1.73704
